model,sample,orientation,housing,dimming,rack,branch,socket,manufacturer,productName,lampShapeSize
1,1,d,0,0,1,1,1,CREE,PAR38,LRP-38
1,2,d,0,0,1,1,2,CREE,PAR38,LRP-38
1,3,d,0,0,1,1,3,CREE,PAR38,LRP-38
1,4,d,0,0,1,1,4,CREE,PAR38,LRP-38
1,5,d,0,0,1,1,5,CREE,PAR38,LRP-38
1,6,u,0,0,3,8,1,CREE,PAR38,LRP-38
1,7,u,0,0,3,8,2,CREE,PAR38,LRP-38
1,8,u,0,0,3,8,3,CREE,PAR38,LRP-38
1,9,u,0,0,3,8,4,CREE,PAR38,LRP-38
1,10,u,0,0,3,8,5,CREE,PAR38,LRP-38
1,11,h,0,0,8,1,1,CREE,PAR38,LRP-38
1,12,h,0,0,8,1,2,CREE,PAR38,LRP-38
1,13,h,0,0,8,1,3,CREE,PAR38,LRP-38
1,14,h,0,0,8,1,4,CREE,PAR38,LRP-38
1,15,h,0,0,8,1,5,CREE,PAR38,LRP-38
1,16,u,1,0,1,5,6,CREE,PAR38,LRP-38
1,17,u,1,0,5,5,2,CREE,PAR38,LRP-38
1,18,u,1,0,5,5,3,CREE,PAR38,LRP-38
1,19,u,1,0,5,5,4,CREE,PAR38,LRP-38
1,20,u,1,0,5,5,5,CREE,PAR38,LRP-38
1,21,u,0,1,3,3,1,CREE,PAR38,LRP-38
1,22,u,0,1,3,3,2,CREE,PAR38,LRP-38
1,23,u,0,1,3,3,3,CREE,PAR38,LRP-38
1,24,d,0,1,3,1,1,CREE,PAR38,LRP-38
1,25,d,0,1,3,1,2,CREE,PAR38,LRP-38
1,26,h,0,1,3,6,1,CREE,PAR38,LRP-38
1,27,h,0,1,3,6,2,CREE,PAR38,LRP-38
1,28,u,1,1,4,5,1,CREE,PAR38,LRP-38
1,29,u,1,1,4,5,2,CREE,PAR38,LRP-38
1,30,u,1,1,4,5,3,CREE,PAR38,LRP-38
1,31,d,0,0,1,3,1,CREE,PAR38,LRP-38
2,1,d,0,0,1,1,6,Sylvania,PAR30,LED10PAR30/DIM/SG/830/WSP15
2,2,d,0,0,1,1,7,Sylvania,PAR30,LED10PAR30/DIM/SG/830/WSP15
2,3,d,0,0,1,1,8,Sylvania,PAR30,LED10PAR30/DIM/SG/830/WSP15
2,4,d,0,0,1,1,9,Sylvania,PAR30,LED10PAR30/DIM/SG/830/WSP15
2,5,d,0,0,1,1,10,Sylvania,PAR30,LED10PAR30/DIM/SG/830/WSP15
2,6,u,0,0,3,8,6,Sylvania,PAR30,LED10PAR30/DIM/SG/830/WSP15
